YEAR,ZIP_Code,modeled_bill,utility,census_bill
2021,07001,159.32,PSE&G,133.77
2021,07002,148.90,PSE&G,154.44
2021,07003,168.69,PSE&G,157.00
2021,07004,216.68,PSE&G,221.05
2021,07005,157.95,JCP&L,131.09
2021,07006,202.83,PSE&G,221.05
2021,07008,181.97,PSE&G,133.77
2021,07009,206.36,PSE&G,221.05
2021,07010,145.17,PSE&G,150.69
2021,07011,169.43,PSE&G,152.74
2021,07012,179.64,PSE&G,152.74
2021,07013,193.97,PSE&G,169.80
2021,07014,177.97,PSE&G,152.74
2021,07016,208.29,PSE&G,148.64
2021,07017,139.68,PSE&G,174.75
2021,07018,136.13,PSE&G,174.77
2021,07020,119.05,PSE&G,150.69
2021,07021,261.35,PSE&G,221.05
2021,07022,154.89,PSE&G,150.69
2021,07023,223.78,PSE&G,166.15
2021,07024,125.04,PSE&G,150.69
2021,07026,167.33,PSE&G,170.12
2021,07027,179.37,PSE&G,166.15
2021,07028,225.30,PSE&G,221.05
2021,07029,129.97,PSE&G,154.44
2021,07030,113.66,PSE&G,129.09
2021,07031,171.27,PSE&G,167.82
2021,07032,165.78,PSE&G,154.44
2021,07033,209.95,PSE&G,128.52
2021,07034,127.54,JCP&L,131.16
2021,07035,137.36,JCP&L,131.14
2021,07036,181.02,PSE&G,134.82
2021,07039,224.12,PSE&G,203.44
2021,07040,200.34,PSE&G,174.77
2021,07041,197.52,PSE&G,203.35
2021,07042,170.10,PSE&G,221.05
2021,07043,231.92,PSE&G,219.70
2021,07044,191.22,PSE&G,221.05
2021,07045,160.55,JCP&L,131.16
2021,07046,196.79,JCP&L,131.16
2021,07047,141.44,PSE&G,146.90
2021,07050,139.37,PSE&G,174.85
2021,07052,192.12,PSE&G,203.44
2021,07054,124.45,JCP&L,131.16
2021,07055,141.69,PSE&G,152.74
2021,07057,156.50,PSE&G,167.82
2021,07058,152.86,JCP&L,131.16
2021,07059,235.68,PSE&G,191.07
2021,07060,162.06,PSE&G,168.73
2021,07062,192.99,PSE&G,166.70
2021,07063,193.59,PSE&G,167.83
2021,07064,226.41,PSE&G,133.77
2021,07065,166.97,PSE&G,134.82
2021,07066,207.96,PSE&G,134.82
2021,07067,222.44,PSE&G,133.77
2021,07068,208.01,PSE&G,203.44
2021,07069,221.24,PSE&G,172.25
2021,07070,186.74,PSE&G,167.82
2021,07071,175.39,PSE&G,167.82
2021,07072,190.05,PSE&G,167.82
2021,07073,150.55,PSE&G,167.82
2021,07074,187.62,PSE&G,167.82
2021,07075,181.17,PSE&G,167.82
2021,07076,214.39,PSE&G,161.62
2021,07077,202.53,PSE&G,133.77
2021,07078,257.21,PSE&G,203.44
2021,07079,190.87,PSE&G,174.77
2021,07080,210.70,PSE&G,179.92
2021,07081,187.52,PSE&G,148.77
2021,07082,173.38,JCP&L,131.16
2021,07083,197.31,PSE&G,128.52
2021,07086,128.23,PSE&G,129.09
2021,07087,128.65,PSE&G,129.08
2021,07088,186.08,PSE&G,128.52
2021,07090,224.52,PSE&G,158.45
2021,07092,241.36,PSE&G,148.77
2021,07093,123.55,PSE&G,146.90
2021,07094,148.21,PSE&G,146.90
2021,07095,162.53,PSE&G,134.57
2021,07102,105.83,PSE&G,131.94
2021,07103,152.40,PSE&G,171.89
2021,07104,140.62,PSE&G,125.29
2021,07105,143.72,PSE&G,125.29
2021,07106,153.39,PSE&G,175.47
2021,07107,152.85,PSE&G,132.87
2021,07108,149.99,PSE&G,175.47
2021,07109,169.67,PSE&G,157.00
2021,07110,188.52,PSE&G,157.00
2021,07111,145.07,PSE&G,174.77
2021,07112,150.38,PSE&G,175.47
2021,07114,134.35,PSE&G,140.00
2021,07201,147.23,PSE&G,108.80
2021,07202,143.15,PSE&G,108.80
2021,07203,177.34,PSE&G,133.22
2021,07204,178.89,PSE&G,128.52
2021,07205,197.33,PSE&G,128.52
2021,07206,159.45,PSE&G,108.80
2021,07208,137.34,PSE&G,108.80
2021,07302,110.82,PSE&G,118.96
