node,zone,lat,lon,dist_dc_mi,dc_within_10,prem_2020,prem_2021,prem_2022,prem_2023,prem_2024,prem_2025,prem_2026
TONNELLE,PSEG,40.794,-74.025,0.000,21,0.428,2.558,2.097,1.758,0.563,0.695,2.003
ONTARIO,AECO,39.377,-74.451,0.000,1,0.087,-0.591,-0.185,-0.803,0.245,0.109,0.413
WILLIAM1,PSEG,40.822,-74.310,0.000,14,-0.006,-0.916,1.381,1.566,-0.149,0.191,-0.176
LIBRTYST,PSEG,40.719,-74.039,0.166,21,-0.072,-0.655,-0.732,-0.673,-0.442,-0.449,-0.939
HOMESTEA,PSEG,40.782,-74.068,0.276,21,0.371,2.168,1.749,1.527,0.433,0.487,1.701
NEWARKEC,PSEG,40.736,-74.174,0.276,22,0.329,1.850,1.378,1.305,0.358,0.385,1.433
BARCLAYS,PSEG,40.540,-74.463,0.276,12,-0.022,-0.559,-0.206,0.107,-0.171,0.005,0.181
TOTOWA,PSEG,40.903,-74.220,0.276,8,0.377,3.235,2.624,1.786,0.435,0.560,0.807
LINVFT,PSEG,40.831,-74.135,0.276,25,0.139,-0.241,0.384,0.803,0.338,0.325,1.418
HOBOKEN,PSEG,40.768,-74.025,0.404,21,0.374,2.143,1.733,1.499,0.434,0.489,1.696
CARLSTAD,PSEG,40.832,-74.059,0.447,25,0.425,2.620,2.332,1.864,0.622,0.680,1.891
NEWPORT,AECO,40.732,-74.052,0.753,21,0.345,-0.413,0.510,-0.588,0.785,0.476,0.765
TEXAVE,PSEG,40.744,-74.155,0.854,22,,,-0.438,-0.596,-0.386,-0.409,-0.859
MACARTHR,RECO,40.739,-74.195,0.882,22,0.373,2.696,1.826,3.085,2.021,3.186,0.617
RIVERROA,PSEG,40.787,-74.009,0.970,21,0.411,2.698,2.189,1.810,0.588,0.728,2.066
HARTSLAN,PSEG,40.437,-74.397,1.147,11,0.011,-0.390,-0.175,-0.170,-0.140,-0.067,-0.617
LINDEN,PSEG,40.604,-74.233,1.179,7,0.164,0.928,0.655,0.980,0.355,0.336,1.054
HARVEY,PSEG,40.821,-74.156,1.184,26,,0.942,2.147,1.707,0.518,0.582,1.774
WYCKOFF,JCPL,40.242,-74.530,1.207,2,0.017,-0.631,-0.272,-0.129,-0.186,-0.195,-0.072
VANWINKL,PSEG,40.817,-74.085,1.350,25,0.396,2.302,1.982,1.646,0.509,0.553,1.658
GRNOTCH,PSEG,40.882,-74.206,1.387,11,0.356,3.275,2.583,1.761,0.414,0.489,0.746
SFIFTHST,PSEG,40.723,-74.200,1.398,20,0.325,2.018,1.591,1.436,0.435,0.489,1.586
CJN,PSEG,40.717,-74.076,1.422,21,-0.035,-0.545,-0.387,-0.383,-0.336,-0.306,-0.789
DEANS,PSEG,40.389,-74.489,1.444,7,-0.137,-0.570,-0.661,-0.234,-0.444,-0.323,-0.973
GRENVIL,PSEG,40.678,-74.090,1.496,20,0.263,1.535,1.414,1.352,0.461,0.527,1.595
ATHENIA,PSEG,40.847,-74.161,1.537,21,0.430,2.690,2.379,1.828,0.730,0.664,1.914
ERUTHERF,PSEG,40.820,-74.106,1.611,25,0.413,2.649,2.339,1.807,0.687,0.652,1.889
BRIDGEWA,PSEG,40.594,-74.588,1.620,11,-0.100,-0.673,-0.467,-0.266,-0.435,-0.231,-0.456
PASSAIC,PSEG,40.855,-74.118,1.662,21,0.855,2.768,2.704,1.881,0.664,0.747,1.977
MADISNPS,PSEG,40.745,-74.028,1.673,21,0.520,2.214,1.757,1.524,0.498,0.591,1.904
SEWAREN,PSEG,40.569,-74.256,1.684,2,-0.004,-0.109,-0.187,-0.101,-0.239,0.101,0.825
DRTTOTO,PSEG,40.850,-74.074,1.741,24,,,2.569,1.753,0.405,0.486,0.750
NICHLSN,PSEG,40.763,-74.187,1.744,25,,,,,,-0.777,-1.223
NEWARK,PSEG,40.723,-74.139,1.789,21,0.328,1.671,1.369,1.303,0.441,0.516,1.529
