zip	modeled_bill_2026-02_$/mo
07001	213.8
07002	199.82
07003	226.37
07004	290.78
07005	197.33
07006	272.19
07008	244.19
07009	276.93
07010	194.81
07011	227.37
07012	241.07
07013	260.3
07014	238.83
07016	279.52
07017	187.44
07018	182.68
07020	159.76
07021	350.72
07022	207.86
07023	300.3
07024	167.8
07026	224.55
07027	240.7
07028	302.34
07029	174.42
07030	152.52
07031	229.83
07032	222.48
07033	281.75
07034	159.35
07035	171.61
07036	242.92
07039	300.76
07040	268.85
07041	265.06
07042	228.27
07043	311.23
07044	256.61
07045	200.59
07046	245.87
07047	189.8
07050	187.02
07052	257.81
07054	155.48
07055	190.14
07057	210.02
07058	190.98
07059	316.27
07060	217.47
07062	258.99
07063	259.79
07064	303.84
07065	224.06
07066	279.08
07067	298.5
07068	279.14
07069	296.9
07070	250.6
07071	235.37
07072	255.04
07073	202.03
07074	251.77
07075	243.12
07076	287.7
07077	271.78
07078	345.16
07079	256.14
07080	282.74
07081	251.64
07082	216.62
07083	264.77
07086	172.08
07087	172.65
07088	249.71
07090	301.3
07092	323.89
07093	165.8
07094	198.9
07095	218.1
07102	142.02
07103	204.51
07104	188.7
07105	192.87
07106	205.84
07107	205.12
07108	201.29
07109	227.69
07110	252.98
07111	194.68
07112	201.8
07114	180.3
07201	197.58
07202	192.11
07203	237.98
07204	240.06
07205	264.8
07206	213.98
07208	184.3
07302	148.71
07304	184.22
07305	206.75
07306	171.54
07307	194.39
07310	131.6
07311	125.36
07401	287.12
07403	262.86
07405	201.12
07407	242.69
07410	280.82
07416	172.9
07417	341.86
07418	223.14
07419	178.23
07420	259.92
07421	299.17
07422	296.62
07423	322.7
07424	238.62
07430	260.73
07432	271.29
07435	307.23
07436	311.68
07438	291.87
07439	207.56
07440	209.39
07442	261.57
07444	159.25
07446	301.08
07450	298.43
07452	312.68
07456	311.0
07457	141.54
07458	358.71
07460	213.37
07461	193.53
07462	168.62
07463	292.25
07465	257.76
07470	276.78
07480	274.97
07481	314.14
07501	189.44
07502	241.09
07503	209.75
07504	228.04
07505	149.72
07506	257.29
07508	250.14
07512	277.65
07513	221.71
07514	200.08
07522	206.35
07524	205.06
07601	176.43
07603	265.21
07604	259.42
07605	257.51
07606	250.21
07607	269.01
07608	220.48
07620	349.03
07621	268.64
07624	305.32
07626	285.91
07627	327.88
07628	268.16
07630	299.72
07631	219.11
07632	318.41
07640	305.76
07641	326.42
07642	300.72
07643	213.04
07644	217.6
07645	287.61
07646	263.21
07647	286.6
07648	280.37
07649	310.01
07650	210.41
07652	300.05
07656	283.6
07657	238.64
07660	222.62
07661	277.49
07662	270.16
07663	262.04
07666	275.97
07670	297.09
07675	284.11
07676	304.89
07677	334.63
07701	173.19
07702	211.38
07703	
07704	224.57
07711	215.11
07712	150.89
07716	179.74
07717	183.42
07718	212.97
07719	184.28
07720	153.47
07721	155.87
07722	245.53
07723	213.72
07724	169.65
07726	198.73
07727	199.38
07728	188.26
07730	205.9
07731	208.49
07732	150.03
07733	220.68
07734	175.07
07735	187.63
07737	207.53
07738	211.37
07739	222.34
07740	147.89
07746	222.96
07747	176.3
07748	205.74
07750	160.79
07751	213.98
07753	168.43
07755	214.55
07756	178.91
07757	207.86
07758	200.03
07760	207.53
07762	181.88
07764	195.62
07801	168.31
07803	195.23
07820	
07821	215.58
07822	220.14
07823	180.08
07825	215.1
07826	205.47
07827	192.29
07828	163.7
07830	226.53
07831	
07832	211.52
07833	226.73
07834	200.27
07836	190.45
07838	218.54
07840	179.7
07842	
07843	202.98
07844	200.51
07846	249.83
07847	207.8
07848	202.59
07849	208.14
07850	205.33
07851	213.77
07852	171.42
07853	229.78
07856	155.08
07857	176.97
07860	194.55
07863	202.17
07865	208.28
07866	186.42
07869	205.15
07870	
07871	217.17
07874	205.42
07876	219.58
07878	213.37
07880	217.66
07881	
07882	194.1
07885	167.18
07901	276.44
07920	278.55
07921	228.79
07922	305.03
07924	317.93
07926	
07927	176.72
07928	204.7
07930	245.08
07931	345.24
07932	175.66
07933	220.02
07934	316.18
07935	244.13
07936	214.47
07939	
07940	192.68
07945	243.54
07946	224.4
07950	181.8
07960	172.49
07961	
07970	232.67
07974	281.28
07976	227.31
07977	319.47
07979	
07980	205.92
07981	199.03
08001	291.13
08002	247.51
08003	298.52
08004	293.01
08005	202.95
08006	213.0
08007	235.88
08008	208.53
08009	277.93
08010	232.73
08011	
08012	262.63
08014	292.54
08015	268.01
08016	247.06
08019	282.87
08020	288.33
08021	220.89
08022	298.16
08023	296.25
08026	301.88
08027	277.04
08028	238.16
08029	271.15
08030	252.84
08031	254.38
08032	355.43
08033	283.21
08034	270.61
08035	287.47
08036	290.1
08037	263.67
08038	273.67
08039	
08041	311.72
08042	279.82
08043	246.45
08045	274.79
08046	281.24
08048	257.04
08049	265.49
08050	201.61
08051	245.98
08052	204.18
08053	248.97
08054	246.22
08055	289.74
08056	306.31
08057	285.56
08059	273.9
08060	250.12
08061	281.41
08062	304.55
08063	270.21
08064	
08065	243.16
08066	239.89
08067	287.13
08068	244.87
08069	239.87
08070	254.19
08071	259.07
08072	284.96
08073	
08074	
08075	248.59
08077	276.76
08078	265.89
08079	246.32
08080	276.96
08081	286.11
08083	280.66
08084	266.41
08085	277.3
08086	228.15
08087	200.45
08088	296.65
08089	300.48
08090	292.74
08091	269.12
08092	211.41
08093	233.31
08094	267.03
08095	
08096	251.94
08097	296.26
08098	272.45
08102	184.05
08103	234.86
08104	220.57
08105	235.33
08106	271.15
08107	234.91
08108	246.67
08109	263.45
08110	270.0
08201	236.98
08202	276.13
08203	232.01
08204	258.95
08205	249.15
08210	266.36
08212	275.99
08215	262.45
08217	
08221	285.67
08223	274.15
08224	296.78
08225	276.16
08226	226.97
08230	273.76
08232	232.95
08234	264.39
08240	
08241	284.73
08242	249.08
08243	238.0
08244	216.28
08245	
08246	252.97
08247	270.01
08248	267.7
08251	266.1
08260	221.01
08270	269.19
08302	248.63
08310	227.95
08311	279.53
08312	254.29
08314	289.98
08316	257.21
08317	288.49
08318	278.69
08319	269.69
08320	
08321	250.86
08322	282.89
08323	283.14
08324	251.63
08326	265.92
08327	272.48
08328	280.8
08329	299.61
08330	242.74
08332	247.66
08340	280.93
08341	226.03
08343	290.34
08344	275.42
08345	271.34
08346	279.82
08348	269.93
08349	286.42
08350	279.82
08352	279.82
08353	276.05
08360	242.75
08361	263.63
08401	177.13
08402	242.74
08403	261.22
08406	231.56
08501	215.71
08502	302.68
08505	244.32
08510	249.04
08511	239.47
08512	227.45
08514	222.91
08515	285.09
08518	251.56
08520	237.9
08525	301.81
08527	199.3
08528	284.64
08530	186.65
08533	205.7
08534	297.54
08535	232.67
08536	199.17
08540	247.78
08542	211.31
08544	
08550	290.6
08551	226.35
08553	290.98
08554	242.69
08555	202.73
08558	301.94
08559	215.36
08560	321.81
08561	271.7
08562	236.05
08608	152.77
08609	214.42
08610	181.86
08611	155.82
08618	222.92
08619	257.91
08620	278.86
08628	237.74
08629	250.67
08638	243.36
08640	224.82
08641	241.91
08648	246.65
08690	279.67
08691	247.22
08701	169.17
08720	211.23
08721	200.31
08722	210.47
08723	192.86
08724	193.74
08730	213.27
08731	206.19
08732	208.33
08733	180.9
08734	211.31
08735	197.82
08736	205.93
08738	217.31
08740	202.63
08741	210.81
08742	196.58
08750	219.4
08751	167.74
08752	180.11
08753	198.44
08755	185.79
08757	193.44
08758	203.26
08759	171.15
08801	198.5
08802	225.0
08804	213.36
08805	234.24
08807	279.95
08809	178.45
08810	262.26
08812	266.39
08816	270.77
08817	230.15
08820	265.12
08821	300.87
08822	196.17
08823	214.62
08824	304.27
08825	202.61
08826	201.78
08827	210.55
08828	213.13
08829	195.45
08830	249.7
08831	272.6
08832	196.45
08833	215.7
08835	263.79
08836	351.75
08837	211.21
08840	271.67
08844	276.15
08846	265.44
08848	213.83
08850	294.16
08852	230.56
08853	289.15
08854	248.34
08857	253.5
08858	
08859	235.17
08861	216.79
08863	265.29
08865	186.3
08867	225.12
08869	239.18
08872	244.62
08873	243.6
08876	247.98
08879	246.83
08880	252.76
08882	274.12
08884	263.9
08886	210.6
08887	161.47
08889	206.47
08890	
08901	195.56
08902	231.8
08904	212.26
