YEAR,ZIP_Code,ZIP_Name,Avg_Monthly_Electricity_Bill
2014,07001,"Avenel, NJ",$128.33
2014,07002,"Bayonne, NJ",$163.53
2014,07003,"Bloomfield, NJ",$153.30
2014,07004,"Fairfield, NJ",$194.08
2014,07005,"Boonton, NJ",$123.02
2014,07006,"Caldwell, NJ",$194.08
2014,07008,"Carteret, NJ",$128.33
2014,07009,"Cedar Grove, NJ",$194.08
2014,07010,"Cliffside Park, NJ",$148.69
2014,07011,"Clifton, NJ",$176.14
2014,07012,"Clifton, NJ",$176.14
2014,07013,"Clifton, NJ",$185.06
2014,07014,"Clifton, NJ",$176.14
2014,07016,"Cranford, NJ",$145.85
2014,07017,"East Orange, NJ",$160.96
2014,07018,"East Orange, NJ",$160.96
2014,07020,"Edgewater, NJ",$148.69
2014,07021,"Essex Fells, NJ",$194.08
2014,07022,"Fairview, NJ",$148.69
2014,07023,"Fanwood, NJ",$147.86
2014,07024,"Fort Lee, NJ",$148.69
2014,07026,"Garfield, NJ",$166.73
2014,07027,"Garwood, NJ",$147.86
2014,07028,"Glen Ridge, NJ",$194.08
2014,07029,"Harrison, NJ",$163.53
2014,07030,"Hoboken, NJ",$135.27
2014,07031,"North Arlington, NJ",$167.84
2014,07032,"Kearny, NJ",$163.53
2014,07033,"Kenilworth, NJ",$133.00
2014,07034,"Lake Hiawatha, NJ",$122.58
2014,07035,"Lincoln Park, NJ",$122.67
2014,07036,"Linden, NJ",$125.54
2014,07039,"Livingston, NJ",$217.62
2014,07040,"Maplewood, NJ",$160.96
2014,07041,"Millburn, NJ",$217.46
2014,07042,"Montclair, NJ",$194.08
2014,07043,"Montclair, NJ",$193.92
2014,07044,"Verona, NJ",$194.08
2014,07045,"Montville, NJ",$122.58
2014,07046,"Mountain Lakes, NJ",$122.58
2014,07047,"North Bergen, NJ",$149.35
2014,07050,"Orange, NJ",$161.13
2014,07052,"West Orange, NJ",$217.62
2014,07054,"Parsippany, NJ",$122.58
2014,07055,"Passaic, NJ",$176.14
2014,07057,"Wallington, NJ",$167.84
2014,07058,"Pine Brook, NJ",$122.58
2014,07059,"Warren, NJ",$179.17
2014,07060,"Plainfield, NJ",$154.26
2014,07062,"Plainfield, NJ",$149.19
2014,07063,"Plainfield, NJ",$151.97
2014,07064,"Port Reading, NJ",$128.33
2014,07065,"Rahway, NJ",$125.54
2014,07066,"Clark, NJ",$125.54
2014,07067,"Colonia, NJ",$128.33
2014,07068,"Roseland, NJ",$217.62
2014,07069,"Watchung, NJ",$163.94
2014,07070,"Rutherford, NJ",$167.84
2014,07071,"Lyndhurst, NJ",$167.84
2014,07072,"Carlstadt, NJ",$167.84
2014,07073,"East Rutherford, NJ",$167.84
2014,07074,"Moonachie, NJ",$167.84
2014,07075,"Wood Ridge, NJ",$167.84
2014,07076,"Scotch Plains, NJ",$148.98
2014,07077,"Sewaren, NJ",$128.33
2014,07078,"Short Hills, NJ",$217.62
2014,07079,"South Orange, NJ",$160.96
2014,07080,"South Plainfield, NJ",$167.93
2014,07081,"Springfield, NJ",$152.28
2014,07082,"Towaco, NJ",$122.58
2014,07083,"Union, NJ",$133.00
2014,07086,"Weehawken, NJ",$135.27
2014,07087,"Union City, NJ",$135.26
2014,07088,"Vauxhall, NJ",$133.00
2014,07090,"Westfield, NJ",$149.78
2014,07092,"Mountainside, NJ",$152.28
2014,07093,"West New York, NJ",$149.35
2014,07094,"Secaucus, NJ",$149.35
2014,07095,"Woodbridge, NJ",$129.07
2014,07102,"Newark, NJ",$158.06
2014,07103,"Newark, NJ",$161.87
2014,07104,"Newark, NJ",$157.48
2014,07105,"Newark, NJ",$157.48
2014,07106,"Newark, NJ",$162.24
2014,07107,"Newark, NJ",$158.12
2014,07108,"Newark, NJ",$162.24
2014,07109,"Belleville, NJ",$153.30
2014,07110,"Nutley, NJ",$153.35
2014,07111,"Irvington, NJ",$160.96
2014,07112,"Newark, NJ",$162.24
2014,07114,"Newark, NJ",$158.79
2014,07201,"Elizabeth, NJ",$107.17
2014,07202,"Elizabeth, NJ",$107.17
2014,07203,"Roselle, NJ",$127.54
2014,07204,"Roselle Park, NJ",$133.00
2014,07205,"Hillside, NJ",$133.00
2014,07206,"Elizabethport, NJ",$107.17
2014,07208,"Elizabeth, NJ",$107.18
2014,07302,"Jersey City, NJ",$123.98
2014,07304,"Jersey City, NJ",$149.14
2014,07305,"Jersey City, NJ",$152.43
2014,07306,"Jersey City, NJ",$131.90
2014,07307,"Jersey City, NJ",$123.98
2014,07310,"Jersey City, NJ",$123.98
