zip,zip_lat,zip_lon,nearest_node,node_zone,dist_miles,coord_quality,lmp_2020,lmp_2021,lmp_2022,lmp_2023,lmp_2024,lmp_2025,pct_chg_2020_2025
07001,40.58396,-74.2697,SEWAREN,PSEG,1.85,exact,18.11,18.66,20.44,21.75,18.37,21.97,21.3
07002,40.66249,-74.1102,GRENVIL,PSEG,1.83,fuzzy,18.22,22.2,23.12,26.02,18.87,22.19,21.8
07003,40.80914,-74.18714,COOKRD,PSEG,0.5,fuzzy,18.195,24.25,23.26,25.745,18.79,22.12,21.6
07004,40.88251,-74.30459,WCALDWEL,PSEG,3.28,manual_town,18.135,17.73,19.88,24.52,18.56,22.01,21.4
07005,40.93035,-74.41112,TAYLORLN,JCPL,0.63,fuzzy,18.2,17.99,20.05,23.89,17.99,22.13,21.6
07006,40.85119,-74.28287,WCALDWEL,PSEG,0.85,manual_town,18.135,17.73,19.88,24.52,18.56,22.01,21.4
07008,40.58379,-74.22746,LINDEN,PSEG,1.97,exact,18.1825,20.7,21.83,26.2225,18.75,22.1025,21.6
07009,40.85802,-74.22978,CEDAR,AECO,0.9,exact,18.12,18.27,20.09,23.74,17.82,21.92,21.0
07010,40.82205,-73.98794,CLIFFS,PSEG,0.41,manual_town,,,,,,22.21,
07011,40.88043,-74.14325,KULLERRD,PSEG,1.12,fuzzy,18.23,25.11,25.065,26.13,18.995,22.21,21.8
07012,40.8469,-74.16054,ATHENIA,PSEG,1.04,exact,18.26,25.175,24.9,26.2275,19.0275,22.1925,21.5
07013,40.86941,-74.17306,CLIF PS,PSEG,0.67,manual_town,18.22,25.99,25.43,26.48,18.87,22.14,21.5
07014,40.83134,-74.13542,LINVFT,PSEG,0.6,manual_town,18.19,19.37,21.0,26.03,18.69,22.1,21.5
07016,40.65755,-74.30363,STANLEYT,PSEG,0.25,manual_town,18.16,18.88,20.64,25.19,18.63,22.07,21.5
07017,40.77192,-74.20708,QTS,PSEG,0.78,manual_town,18.18,17.85,19.98,23.71,18.25,22.11,21.6
07018,40.75573,-74.21792,MINUEST,PSEG,0.45,manual_town,18.16,19.26,20.89,26.64,18.57,22.02,21.3
07020,40.82465,-73.97379,CLIFFS,PSEG,1.17,manual_town,,,,,,22.21,
07021,40.8281,-74.27623,WCALDWEL,PSEG,0.79,manual_town,18.135,17.73,19.88,24.52,18.56,22.01,21.4
07022,40.82111,-74.00303,CLIFFS,PSEG,0.38,manual_town,,,,,,22.21,
07023,40.6417,-74.38569,FANWOOD,PSEG,0.46,exact,18.12,17.71,19.85,23.24,18.4,21.97,21.2
07024,40.85064,-73.97101,LEONIA,PSEG,1.61,exact,18.25,24.77,24.68,26.26,18.94,22.2,21.6
07026,40.8798,-74.10825,PLAUDERV,PSEG,1.11,fuzzy,,,,26.1,19.01,22.22,
07027,40.65133,-74.32315,STANLEYT,PSEG,1.34,manual_town,18.16,18.88,20.64,25.19,18.63,22.07,21.5
07028,40.8048,-74.20457,COOKRD,PSEG,1.46,fuzzy,18.195,24.25,23.26,25.745,18.79,22.12,21.6
07029,40.74362,-74.1549,TEXAVE,PSEG,0.73,manual_town,,,,23.39,17.73,21.77,
07030,40.74525,-74.02793,MADISNPS,PSEG,0.61,fuzzy,,23.93,23.75,26.07,18.91,22.22,
07031,40.78626,-74.12622,KINGSLAN,PSEG,0.55,fuzzy,18.194,23.17,23.325,25.805,18.81,22.14,21.7
07032,40.75233,-74.12309,TURNPIKE,PSEG,0.65,exact,18.19,23.135,22.97,25.715,18.8,22.14,21.7
07033,40.67809,-74.28811,ALDENE,PSEG,1.52,exact,18.15,18.76,20.56,25.24,18.61,22.05,21.5
07034,40.87948,-74.3801,MONTVILL,JCPL,2.46,fuzzy,18.09,16.84,19.35,24.28,18.39,22.0,21.6
07035,40.9275,-74.30833,SADDLEBR,PSEG,2.94,manual_town,18.23,25.55,25.07,26.31,18.91,22.16,21.6
07036,40.62471,-74.23936,LINDEN,PSEG,1.09,exact,18.1825,20.7,21.83,26.2225,18.75,22.1025,21.6
07039,40.78583,-74.3291,LIVINGPS,PSEG,0.81,manual_town,,,,,,21.99,
07040,40.73361,-74.27116,VAUXHALL,PSEG,2.75,exact,,,20.64,25.39,18.68,22.12,
07041,40.72245,-74.30155,VAUXHALL,PSEG,3.19,exact,,,20.64,25.39,18.68,22.12,
07042,40.81349,-74.21901,COOKRD,PSEG,2.13,fuzzy,18.195,24.25,23.26,25.745,18.79,22.12,21.6
07043,40.84484,-74.2005,CEDAR,AECO,1.79,exact,18.12,18.27,20.09,23.74,17.82,21.92,21.0
